YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2008,Cluster 28,ASSAULT W/DANGEROUS WEAPON,DAY,17
2008,Cluster 28,BURGLARY,EVENING,27
2008,Cluster 28,BURGLARY,DAY,10
2008,Cluster 28,BURGLARY,MIDNIGHT,8
2008,Cluster 28,HOMICIDE,MIDNIGHT,4
2008,Cluster 28,MOTOR VEHICLE THEFT,DAY,39
2008,Cluster 28,MOTOR VEHICLE THEFT,EVENING,21
2008,Cluster 28,MOTOR VEHICLE THEFT,MIDNIGHT,18
2008,Cluster 28,ROBBERY,EVENING,27
2008,Cluster 28,ROBBERY,MIDNIGHT,27
2008,Cluster 28,ROBBERY,DAY,19
2008,Cluster 28,THEFT/OTHER,DAY,57
2008,Cluster 28,THEFT/OTHER,EVENING,43
2008,Cluster 28,THEFT/OTHER,MIDNIGHT,13
2008,Cluster 29,ARSON,EVENING,1
2008,Cluster 29,ASSAULT W/DANGEROUS WEAPON,EVENING,10
2008,Cluster 29,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,8
2008,Cluster 29,ASSAULT W/DANGEROUS WEAPON,DAY,5
2008,Cluster 29,BURGLARY,DAY,2
2008,Cluster 29,BURGLARY,EVENING,2
2008,Cluster 29,BURGLARY,MIDNIGHT,1
2008,Cluster 29,MOTOR VEHICLE THEFT,DAY,16
2008,Cluster 29,MOTOR VEHICLE THEFT,EVENING,13
2008,Cluster 29,MOTOR VEHICLE THEFT,MIDNIGHT,6
2008,Cluster 29,ROBBERY,EVENING,9
2008,Cluster 29,ROBBERY,MIDNIGHT,9
2008,Cluster 29,ROBBERY,DAY,3
2008,Cluster 29,THEFT/OTHER,DAY,16
2008,Cluster 29,THEFT/OTHER,EVENING,11
2008,Cluster 29,THEFT/OTHER,MIDNIGHT,6
2008,Cluster 3,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,36
2008,Cluster 3,ASSAULT W/DANGEROUS WEAPON,EVENING,26
2008,Cluster 3,ASSAULT W/DANGEROUS WEAPON,DAY,10
2008,Cluster 3,BURGLARY,EVENING,32
2008,Cluster 3,BURGLARY,DAY,30
2008,Cluster 3,BURGLARY,MIDNIGHT,17
2008,Cluster 3,HOMICIDE,MIDNIGHT,6
2008,Cluster 3,MOTOR VEHICLE THEFT,EVENING,74
2008,Cluster 3,MOTOR VEHICLE THEFT,DAY,67
2008,Cluster 3,MOTOR VEHICLE THEFT,MIDNIGHT,43
