,Year,Neighborhood Cluster,Offense,Neighborhoods,Median Price,Number of Crimes
200,2008,Cluster 29,Arson,"Eastland Gardens, Kenilworth",295000,1
201,2008,Cluster 29,Assault w/Dangerous Weapon,"Eastland Gardens, Kenilworth",295000,23
202,2008,Cluster 29,Burglary,"Eastland Gardens, Kenilworth",295000,5
203,2008,Cluster 29,Motor Vehicle Theft,"Eastland Gardens, Kenilworth",295000,35
204,2008,Cluster 29,Robbery,"Eastland Gardens, Kenilworth",295000,21
205,2008,Cluster 29,Theft/Other,"Eastland Gardens, Kenilworth",295000,33
206,2008,Cluster 30,Arson,"Mayfair, Hillbrook, Mahaning Heights",257500,1
207,2008,Cluster 30,Assault w/Dangerous Weapon,"Mayfair, Hillbrook, Mahaning Heights",257500,43
208,2008,Cluster 30,Burglary,"Mayfair, Hillbrook, Mahaning Heights",257500,28
209,2008,Cluster 30,Homicide,"Mayfair, Hillbrook, Mahaning Heights",257500,1
210,2008,Cluster 30,Motor Vehicle Theft,"Mayfair, Hillbrook, Mahaning Heights",257500,151
211,2008,Cluster 30,Robbery,"Mayfair, Hillbrook, Mahaning Heights",257500,71
212,2008,Cluster 30,Sex Abuse,"Mayfair, Hillbrook, Mahaning Heights",257500,3
213,2008,Cluster 30,Theft/Other,"Mayfair, Hillbrook, Mahaning Heights",257500,229
214,2008,Cluster 31,Arson,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,3
215,2008,Cluster 31,Assault w/Dangerous Weapon,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,137
216,2008,Cluster 31,Burglary,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,127
217,2008,Cluster 31,Homicide,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,9
218,2008,Cluster 31,Motor Vehicle Theft,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,265
219,2008,Cluster 31,Robbery,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,122
220,2008,Cluster 31,Sex Abuse,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,4
221,2008,Cluster 31,Theft/Other,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",260000,329
222,2008,Cluster 32,Arson,"River Terrace, Benning, Greenway, Dupont Park",229000,2
223,2008,Cluster 32,Assault w/Dangerous Weapon,"River Terrace, Benning, Greenway, Dupont Park",229000,111
224,2008,Cluster 32,Burglary,"River Terrace, Benning, Greenway, Dupont Park",229000,87
225,2008,Cluster 32,Homicide,"River Terrace, Benning, Greenway, Dupont Park",229000,8
226,2008,Cluster 32,Motor Vehicle Theft,"River Terrace, Benning, Greenway, Dupont Park",229000,229
227,2008,Cluster 32,Robbery,"River Terrace, Benning, Greenway, Dupont Park",229000,95
